Time (ns),Atom id,Diffusion Coefficient (cmÂ²/s)
10.0,2,0.00294686
10.0,72,0.00956119
10.0,250,0.00348271
10.0,260,0.00677157
20.0,205,0.0167465
20.0,260,0.00943156
40.0,11,0.000231438
40.0,154,0.000341433
50.0,4,0.0
60.0,11,0.00688051
60.0,154,0.00421993
60.0,203,0.0018833
70.0,1,0.00431625
70.0,108,0.00991301
80.0,8,0.000872132
80.0,108,0.00280848
80.0,136,0.00548018
80.0,141,0.00432628
80.0,260,0.0148906
90.0,234,0.012314
100.0,14,0.0074043
110.0,154,0.00390296
120.0,280,9.96564e-05
130.0,234,0.00825715
140.0,144,0.00128059
150.0,4,0.00863177
150.0,129,0.00798637
160.0,260,0.00622722
170.0,72,0.0120939
170.0,205,0.00155717
170.0,250,0.0187667
170.0,260,0.0138322
180.0,204,0.0164187
190.0,10,0.00113745
190.0,180,0.00396155
190.0,260,0.0156203
200.0,108,0.00381297
200.0,132,0.0
200.0,136,0.00982128
210.0,173,0.0174533
220.0,72,0.0094455
230.0,204,0.0150648
240.0,194,0.0137131
240.0,274,0.00422033
250.0,4,0.000576554
250.0,168,0.000111954
260.0,204,0.0136702
260.0,252,0.0154668
270.0,136,0.00415199
280.0,72,0.000103935
280.0,205,0.0107213
280.0,260,0.00981337
290.0,188,0.0
290.0,269,0.017398
300.0,93,0.00583837
300.0,261,0.0119214
310.0,98,0.0
310.0,204,0.0134651
310.0,267,0.00822273
320.0,72,0.0
320.0,129,0.0160075
320.0,205,0.0
320.0,260,0.00965717
330.0,72,0.0
340.0,261,0.012684
350.0,95,0.00026449
350.0,144,0.00107171
360.0,107,0.0
370.0,1,0.00130723
380.0,260,0.0172514
400.0,108,0.0037482
400.0,141,0.0197429
400.0,260,0.000567071
410.0,102,0.0
410.0,149,0.0134436
410.0,151,0.0
420.0,205,0.0
420.0,250,0.00204683
420.0,260,0.0204259
430.0,10,0.0
430.0,108,0.0174021
430.0,180,0.012671
440.0,10,0.00052111
440.0,108,0.00218617
440.0,141,0.000916537
440.0,150,0.00230744
440.0,161,0.0
440.0,260,0.0173899
450.0,125,0.0147693
460.0,1,0.00388389
460.0,238,9.59913e-05
470.0,93,0.00202031
470.0,277,0.0148222
480.0,192,0.0
480.0,194,0.0
490.0,72,0.000518449
500.0,204,0.00191866
540.0,204,0.00198872
550.0,250,0.0114669
560.0,204,0.0183439
570.0,4,0.0222667
570.0,98,0.0
580.0,269,0.00502182
600.0,68,0.0153107
610.0,204,0.0055746
620.0,1,0.0188438
620.0,108,0.00430452
630.0,93,0.00067112
630.0,260,0.00236905
640.0,111,0.013596
650.0,4,0.0
670.0,144,0.0
690.0,204,0.00239871
700.0,260,0.0108482
710.0,108,0.0120903
710.0,141,0.0023017
720.0,183,0.000718226
740.0,144,0.00265087
740.0,203,0.0124629
750.0,4,0.0189597
760.0,280,0.0
770.0,108,0.00178084
780.0,144,0.0107223
790.0,154,0.0107281
790.0,235,0.000571938
790.0,260,0.00468085
790.0,261,0.0120894
800.0,1,0.0130072
800.0,108,0.022036
800.0,141,0.012336
810.0,72,0.000458633
810.0,250,0.0101997
810.0,260,0.0
830.0,49,0.0204985
830.0,171,0.00387566
830.0,260,0.0134027
830.0,261,0.00209945
840.0,39,0.00483823
840.0,186,0.0148315
840.0,260,0.000479545
850.0,94,0.0
850.0,154,0.00167524
850.0,269,0.0
860.0,72,0.0
860.0,183,0.00123006
870.0,108,0.00549915
870.0,141,0.00863924
880.0,231,0.00176288
880.0,260,0.013356
890.0,132,7.92109e-05
890.0,148,0.000535558
910.0,154,0.00549588
910.0,204,0.0
920.0,126,0.00322341
930.0,10,0.00470433
930.0,260,0.012303
950.0,205,2.91658e-05
960.0,72,0.0153166
960.0,129,0.000317456
960.0,149,0.00345992
960.0,250,0.0176985
980.0,3,0.0
980.0,204,0.0
990.0,74,0.0
990.0,204,0.0038636
1000.0,66,0.0
