Time (ns),id,Diffusion Coefficient (cmÂ²/s),std
100.0,36.0,1.4503685000000002,0.7034957643202268
100.0,37.0,1.4716019700000005,1.026964163625461
100.0,65.0,1.3511161,0.7847929257235029
100.0,139.0,1.25018781,0.8969027415098059
200.0,18.0,1.326485,0.8969383093222063
200.0,89.0,1.18391536,1.4024949466883516
200.0,96.0,1.2236634000000002,0.7114009292993961
300.0,15.0,1.2354377,0.4295398482805757
300.0,225.0,1.3206374,0.8209906812720836
400.0,76.0,1.2411675,0.5252831301968386
600.0,12.0,1.0471603,1.0347567898931669
600.0,68.0,1.04564865593,1.1990862024369464
600.0,287.0,1.1785027538,0.9655687595945188
700.0,16.0,1.29476818,1.2552560835538908
700.0,256.0,1.1491796943,0.899149999961723
800.0,46.0,0.8456375700000001,0.6438983896984611
800.0,115.0,1.1043872,1.0430661054807813
800.0,120.0,1.00567822984,1.1755468976851828
800.0,162.0,1.0082672,0.6713006536842077
900.0,36.0,1.3281636,1.616891020072314
1000.0,17.0,1.3672312999999998,0.7176404001191142
1000.0,95.0,1.3693343099999995,1.102508687690983
1000.0,143.0,1.3404573,0.94590074046077
1000.0,202.0,1.4152578999999998,1.3238411584201524
